Date,High,Low,Open,Close,Volume,Adj Close
2001-02-16,54.0,54.0,54.0,54.0,0.0,54.0
2001-02-19,54.0,54.0,54.0,54.0,0.0,54.0
2001-02-20,54.0,54.0,54.0,54.0,0.0,54.0
2001-02-21,54.0,54.0,54.0,54.0,0.0,54.0
2001-02-22,54.0,54.0,54.0,54.0,0.0,54.0
2001-02-23,54.0,54.0,54.0,54.0,0.0,54.0
2001-02-26,54.0,54.0,54.0,54.0,0.0,54.0
2001-02-27,54.0,54.0,54.0,54.0,0.0,54.0
2001-02-28,54.0,54.0,54.0,54.0,0.0,54.0
2001-03-01,54.0,54.0,54.0,54.0,0.0,54.0
2001-03-02,54.0,54.0,54.0,54.0,0.0,54.0
2001-03-05,54.0,54.0,54.0,54.0,0.0,54.0
2001-03-06,54.0,54.0,54.0,54.0,733.0,54.0
2001-03-07,54.0,54.0,54.0,54.0,0.0,54.0
2001-03-08,54.0,54.0,54.0,54.0,0.0,54.0
2001-03-09,54.0,54.0,54.0,54.0,0.0,54.0
2001-03-12,54.0,54.0,54.0,54.0,0.0,54.0
2001-03-13,54.0,54.0,54.0,54.0,0.0,54.0
2001-03-14,54.0,54.0,54.0,54.0,0.0,54.0
2001-03-15,54.0,54.0,54.0,54.0,0.0,54.0
2001-03-16,54.0,54.0,54.0,54.0,0.0,54.0
2001-03-19,54.0,54.0,54.0,54.0,0.0,54.0
2001-03-20,54.0,54.0,54.0,54.0,0.0,54.0
2001-03-21,54.0,54.0,54.0,54.0,0.0,54.0
2001-03-22,54.0,54.0,54.0,54.0,0.0,54.0
2001-03-23,54.0,54.0,54.0,54.0,0.0,54.0
2001-03-26,54.0,54.0,54.0,54.0,0.0,54.0
2001-03-27,54.0,54.0,54.0,54.0,0.0,54.0
2001-03-28,54.0,54.0,54.0,54.0,0.0,54.0
2001-03-29,54.0,54.0,54.0,54.0,0.0,54.0
2001-03-30,54.0,54.0,54.0,54.0,0.0,54.0
2001-04-02,54.0,54.0,54.0,54.0,0.0,54.0
2001-04-03,54.0,54.0,54.0,54.0,0.0,54.0
2001-04-04,54.0,54.0,54.0,54.0,0.0,54.0
2001-04-05,54.0,54.0,54.0,54.0,0.0,54.0
2001-04-06,54.0,54.0,54.0,54.0,0.0,54.0
2001-04-09,54.0,54.0,54.0,54.0,0.0,54.0
2001-04-10,54.0,54.0,54.0,54.0,0.0,54.0
2001-04-11,54.0,54.0,54.0,54.0,0.0,54.0
2001-04-12,54.0,54.0,54.0,54.0,0.0,54.0
2001-04-13,54.0,54.0,54.0,54.0,0.0,54.0
2001-04-16,54.0,54.0,54.0,54.0,0.0,54.0
2001-04-17,54.0,54.0,54.0,54.0,0.0,54.0
2001-04-18,54.0,54.0,54.0,54.0,0.0,54.0
2001-04-19,54.0,54.0,54.0,54.0,0.0,54.0
2001-04-20,54.0,54.0,54.0,54.0,0.0,54.0
2001-04-23,54.0,54.0,54.0,54.0,0.0,54.0
2001-04-24,54.0,54.0,54.0,54.0,0.0,54.0
2001-04-25,54.0,54.0,54.0,54.0,0.0,54.0
2001-04-26,54.0,54.0,54.0,54.0,0.0,54.0
2001-04-27,54.0,54.0,54.0,54.0,0.0,54.0
2001-04-30,54.0,54.0,54.0,54.0,0.0,54.0
2001-05-01,54.0,54.0,54.0,54.0,0.0,54.0
2001-05-02,54.0,54.0,54.0,54.0,0.0,54.0
2001-05-03,54.0,54.0,54.0,54.0,0.0,54.0
2001-05-04,54.0,54.0,54.0,54.0,0.0,54.0
2001-05-07,54.0,54.0,54.0,54.0,0.0,54.0
2001-05-08,54.0,54.0,54.0,54.0,0.0,54.0
2001-05-09,54.0,54.0,54.0,54.0,0.0,54.0
2001-05-10,54.0,54.0,54.0,54.0,0.0,54.0
2001-05-11,54.0,54.0,54.0,54.0,0.0,54.0
2001-05-14,54.0,54.0,54.0,54.0,0.0,54.0
2001-05-15,54.0,54.0,54.0,54.0,0.0,54.0
2001-05-16,54.0,54.0,54.0,54.0,0.0,54.0
2001-05-17,54.0,54.0,54.0,54.0,0.0,54.0
2001-05-18,54.0,54.0,54.0,54.0,0.0,54.0
2001-05-21,54.0,54.0,54.0,54.0,0.0,54.0
2001-05-22,54.0,54.0,54.0,54.0,0.0,54.0
2001-05-23,54.0,54.0,54.0,54.0,0.0,54.0
2001-05-24,54.0,54.0,54.0,54.0,0.0,54.0
2001-05-25,54.0,54.0,54.0,54.0,0.0,54.0
2001-05-28,54.0,54.0,54.0,54.0,0.0,54.0
2001-05-29,54.0,54.0,54.0,54.0,0.0,54.0
2001-05-30,54.0,54.0,54.0,54.0,0.0,54.0
2001-05-31,54.0,54.0,54.0,54.0,0.0,54.0
2001-06-01,54.0,54.0,54.0,54.0,0.0,54.0
2001-06-04,54.0,54.0,54.0,54.0,0.0,54.0
2001-06-05,54.0,54.0,54.0,54.0,0.0,54.0
2001-06-06,54.0,54.0,54.0,54.0,0.0,54.0
2001-06-07,54.0,54.0,54.0,54.0,0.0,54.0
2001-06-08,54.0,54.0,54.0,54.0,0.0,54.0
2001-06-11,54.0,54.0,54.0,54.0,0.0,54.0
2001-06-12,54.0,54.0,54.0,54.0,0.0,54.0
2001-06-13,54.0,54.0,54.0,54.0,0.0,54.0
2001-06-14,54.0,54.0,54.0,54.0,0.0,54.0
2001-06-15,54.0,54.0,54.0,54.0,0.0,54.0
2001-06-18,54.0,54.0,54.0,54.0,0.0,54.0
2001-06-19,54.0,54.0,54.0,54.0,0.0,54.0
2001-06-20,54.0,54.0,54.0,54.0,0.0,54.0
2001-06-21,54.0,54.0,54.0,54.0,0.0,54.0
2001-06-22,54.0,54.0,54.0,54.0,0.0,54.0
2001-06-25,54.0,54.0,54.0,54.0,0.0,54.0
2001-06-26,54.0,54.0,54.0,54.0,0.0,54.0
2001-06-27,54.0,54.0,54.0,54.0,0.0,54.0
2001-06-28,54.0,54.0,54.0,54.0,0.0,54.0
2001-06-29,54.0,54.0,54.0,54.0,0.0,54.0
2001-07-02,54.0,54.0,54.0,54.0,0.0,54.0
2001-07-03,54.0,54.0,54.0,54.0,0.0,54.0
2001-07-04,54.0,54.0,54.0,54.0,0.0,54.0
2001-07-05,54.0,54.0,54.0,54.0,0.0,54.0
2001-07-06,54.0,54.0,54.0,54.0,0.0,54.0
2001-07-09,54.0,54.0,54.0,54.0,0.0,54.0
2001-07-10,54.0,54.0,54.0,54.0,0.0,54.0
2001-07-11,54.0,54.0,54.0,54.0,0.0,54.0
2001-07-12,54.0,54.0,54.0,54.0,0.0,54.0
2001-07-13,54.0,54.0,54.0,54.0,0.0,54.0
2001-07-16,54.0,54.0,54.0,54.0,0.0,54.0
2001-07-17,54.0,54.0,54.0,54.0,0.0,54.0
2001-07-18,54.0,54.0,54.0,54.0,0.0,54.0
2001-07-19,54.0,54.0,54.0,54.0,0.0,54.0
2001-07-20,54.0,54.0,54.0,54.0,0.0,54.0
2001-07-23,54.0,54.0,54.0,54.0,0.0,54.0
2001-07-24,54.0,54.0,54.0,54.0,0.0,54.0
2001-07-25,54.0,54.0,54.0,54.0,0.0,54.0
2001-07-26,54.0,54.0,54.0,54.0,0.0,54.0
2001-07-27,54.0,54.0,54.0,54.0,0.0,54.0
2001-07-30,54.0,54.0,54.0,54.0,0.0,54.0
2001-07-31,54.0,54.0,54.0,54.0,0.0,54.0
2001-08-01,54.0,54.0,54.0,54.0,0.0,54.0
2001-08-02,54.0,54.0,54.0,54.0,0.0,54.0
