Date,High,Low,Open,Close,Volume,Adj Close
2010-09-02,299.0,298.0,298.0,299.0,159.0,299.0
2010-09-03,250.0,250.0,250.0,250.0,1.0,250.0
2010-09-08,300.0,300.0,300.0,300.0,1.0,300.0
2010-09-13,300.0,300.0,300.0,300.0,1.0,300.0
2010-09-14,290.0,290.0,290.0,290.0,29.0,290.0
2010-09-15,300.0,300.0,300.0,300.0,1.0,300.0
2010-09-22,320.0,311.0,311.0,320.0,2.0,320.0
2010-09-23,290.0,290.0,290.0,290.0,120.0,290.0
2010-09-28,295.0,295.0,295.0,295.0,65.0,295.0
2010-10-07,290.0,290.0,290.0,290.0,24.0,290.0
2010-10-19,280.0,280.0,280.0,280.0,6.0,280.0
2010-10-28,280.0,280.0,280.0,280.0,49.0,280.0
2010-11-03,285.0,280.0,280.0,285.0,46.0,285.0
2010-11-04,300.0,300.0,300.0,300.0,10.0,300.0
2010-11-09,280.0,280.0,280.0,280.0,48.0,280.0
2010-11-11,300.0,300.0,300.0,300.0,1.0,300.0
2010-11-12,281.0,281.0,281.0,281.0,50.0,281.0
2010-11-22,285.0,285.0,285.0,285.0,1.0,285.0
2010-11-30,285.0,285.0,285.0,285.0,2.0,285.0
2010-12-13,285.0,285.0,285.0,285.0,51.0,285.0
2011-01-12,300.0,300.0,300.0,300.0,3.0,300.0
2011-02-15,232.0,232.0,232.0,232.0,4.0,232.0
2011-03-04,300.0,300.0,300.0,300.0,3.0,300.0
2011-07-13,300.0,300.0,300.0,300.0,1.0,300.0
2011-08-04,300.0,300.0,300.0,300.0,1.0,300.0
2011-10-06,299.0,299.0,299.0,299.0,20.0,299.0
2011-10-17,292.0,250.0,292.0,292.0,103.0,292.0
2011-10-18,278.0,278.0,278.0,278.0,1.0,278.0
2011-10-19,278.0,278.0,278.0,278.0,1.0,278.0
2011-10-21,311.0,291.0,291.0,311.0,6.0,311.0
2011-10-28,296.0,296.0,296.0,296.0,50.0,296.0
2011-10-31,310.0,300.0,310.0,300.0,2.0,300.0
2011-11-01,330.0,315.0,315.0,330.0,5.0,330.0
2011-11-03,314.0,314.0,314.0,314.0,14.0,314.0
2011-11-04,329.0,305.0,329.0,312.0,54.0,312.0
2011-11-07,318.0,318.0,318.0,318.0,5.0,318.0
2011-11-09,304.0,304.0,304.0,304.0,5.0,304.0
2011-11-10,319.0,319.0,319.0,319.0,2.0,319.0
2011-11-14,304.0,304.0,304.0,304.0,5.0,304.0
2011-11-16,305.0,305.0,305.0,305.0,2.0,305.0
2011-11-17,291.0,290.0,290.0,291.0,6.0,291.0
2011-11-18,291.0,291.0,291.0,291.0,0.0,291.0
2011-11-21,291.0,291.0,291.0,291.0,0.0,291.0
2011-11-22,300.0,292.0,292.0,300.0,12.0,300.0
2011-11-23,303.0,303.0,303.0,303.0,1.0,303.0
2011-11-24,303.0,303.0,303.0,303.0,0.0,303.0
2011-11-25,303.0,303.0,303.0,303.0,0.0,303.0
2011-11-28,303.0,303.0,303.0,303.0,0.0,303.0
2011-11-29,303.0,303.0,303.0,303.0,0.0,303.0
2011-11-30,303.0,303.0,303.0,303.0,0.0,303.0
2011-12-01,303.0,303.0,303.0,303.0,0.0,303.0
2011-12-02,303.0,303.0,303.0,303.0,0.0,303.0
2011-12-05,289.0,289.0,289.0,289.0,1.0,289.0
2011-12-06,290.0,290.0,290.0,290.0,20.0,290.0
2011-12-07,292.0,292.0,292.0,292.0,20.0,292.0
2011-12-08,290.0,290.0,290.0,290.0,3.0,290.0
2011-12-09,300.0,300.0,300.0,300.0,60.0,300.0
2011-12-12,380.0,332.0,332.0,379.0,67.0,379.0
2011-12-13,379.0,379.0,379.0,379.0,0.0,379.0
2011-12-14,379.0,379.0,379.0,379.0,0.0,379.0
2011-12-15,295.0,260.0,280.0,295.0,704.0,295.0
2011-12-16,388.0,388.0,388.0,388.0,2.0,388.0
2011-12-19,389.0,260.0,389.0,260.0,1558.0,260.0
2011-12-20,262.0,260.0,260.0,261.0,3.0,261.0
2011-12-21,273.0,260.0,260.0,273.0,6.0,273.0
2011-12-22,294.0,270.0,270.0,294.0,6.0,294.0
2011-12-23,300.0,255.0,300.0,255.0,4.0,255.0
2011-12-26,299.0,250.0,250.0,299.0,7.0,299.0
2011-12-27,325.0,290.0,318.0,300.0,19.0,300.0
2011-12-28,300.0,300.0,300.0,300.0,0.0,300.0
2011-12-29,370.0,290.0,300.0,370.0,24.0,370.0
2012-01-02,389.0,370.0,370.0,389.0,41.0,389.0
2012-01-03,390.0,390.0,390.0,390.0,1.0,390.0
2012-01-04,390.0,390.0,390.0,390.0,1.0,390.0
2012-01-05,371.0,371.0,371.0,371.0,20.0,371.0
2012-01-06,371.0,371.0,371.0,371.0,0.0,371.0
2012-01-09,371.0,371.0,371.0,371.0,0.0,371.0
2012-01-10,371.0,371.0,371.0,371.0,0.0,371.0
2012-01-11,371.0,371.0,371.0,371.0,0.0,371.0
2012-01-12,303.0,303.0,303.0,303.0,303.0,303.0
2012-01-13,303.0,303.0,303.0,303.0,0.0,303.0
