Date,High,Low,Open,Close,Volume,Adj Close
2010-03-22,3040.0,2720.0400390625,3000.0,2800.0,129725.0,2800.0
2010-03-23,2879.60009765625,2720.0,2800.0,2872.0,33850.0,2872.0
2010-03-24,2955.56005859375,2855.9599609375,2855.9599609375,2948.0,24875.0,2948.0
2010-03-25,2968.0,2880.0,2968.0,2880.0,10650.0,2880.0
2010-03-26,2906.0,2826.0,2880.0,2860.0,9000.0,2860.0
2010-03-29,2928.0,2780.0400390625,2928.0,2840.0,6575.0,2840.0
2010-03-30,2832.0,2772.0,2812.0,2832.0,4650.0,2832.0
2010-03-31,2840.0,2768.0,2820.0,2800.0,8225.0,2800.0
2010-04-01,2811.39990234375,2772.0,2800.1201171875,2800.0,3025.0,2800.0
2010-04-05,2800.0,2764.0400390625,2800.0,2799.9599609375,4600.0,2799.9599609375
2010-04-06,2798.0,2724.0,2798.0,2740.0,2825.0,2740.0
2010-04-07,2700.0,2420.0400390625,2700.0,2640.0,30350.0,2640.0
2010-04-08,2800.0,2596.0,2596.0,2800.0,29075.0,2800.0
2010-04-09,2759.919921875,2640.199951171875,2746.0,2640.199951171875,8525.0,2640.199951171875
2010-04-12,2660.0,2408.0,2660.0,2420.0,14975.0,2420.0
2010-04-13,2560.0,2400.0,2452.0,2436.0400390625,17100.0,2436.0400390625
2010-04-14,2480.0,2420.0,2480.0,2466.0,8850.0,2466.0
2010-04-15,2539.9599609375,2471.9599609375,2472.0,2526.0,7675.0,2526.0
2010-04-16,2554.0,2460.0,2554.0,2460.0,2800.0,2460.0
2010-04-19,2493.0,2420.0,2420.39990234375,2444.0,1725.0,2444.0
2010-04-20,2468.0,2428.0,2452.0400390625,2428.1201171875,1100.0,2428.1201171875
2010-04-22,2424.0,2360.1201171875,2412.39990234375,2368.0,1825.0,2368.0
2010-04-23,2380.0,2272.0,2380.0,2339.9599609375,3300.0,2339.9599609375
2010-04-26,2339.919921875,2284.0,2308.0,2299.9599609375,1300.0,2299.9599609375
2010-04-27,2300.0,2208.0,2280.0,2227.9599609375,3650.0,2227.9599609375
2010-04-28,2302.0,2220.0,2239.9599609375,2240.0,2325.0,2240.0
2010-04-29,2388.0,2244.0,2244.0,2304.0,7000.0,2304.0
2010-04-30,2400.0,2303.080078125,2340.0,2375.9599609375,9300.0,2375.9599609375
2010-05-03,2400.0,2356.0,2375.9599609375,2384.1201171875,6500.0,2384.1201171875
2010-05-04,2336.0,2240.0,2328.0,2284.0,5875.0,2284.0
2010-05-05,2300.0,2208.0,2244.0,2248.0,9075.0,2248.0
2010-05-06,2279.919921875,2120.0,2248.0,2124.0,7325.0,2124.0
2010-05-07,2141.199951171875,1960.0,2141.199951171875,1960.0,14175.0,1960.0
2010-05-10,2108.0,2020.0400390625,2100.0400390625,2048.0400390625,3950.0,2048.0400390625
2010-05-11,2040.0,1932.0,2000.0,1960.0400390625,5200.0,1960.0400390625
2010-05-12,1980.0,1840.0,1980.0,1932.0400390625,5350.0,1932.0400390625
