Date,High,Low,Open,Close,Volume,Adj Close
2012-06-18,28.5,28.5,28.5,28.5,0.0,28.5
2012-06-19,26.5,24.0,24.0,24.0,366.0,24.0
2012-06-20,26.5,25.5,26.5,26.5,24.0,26.5
2012-06-21,24.0,22.5,22.5,24.0,2610.0,24.0
2012-06-22,23.5,22.5,23.5,22.5,4070.0,22.5
2012-06-25,23.0,22.0,23.0,22.0,808.0,22.0
2012-06-26,23.0,22.0,22.5,22.0,550.0,22.0
2012-06-27,22.5,21.5,22.0,21.5,1454.0,21.5
2012-06-28,22.0,20.5,21.0,20.5,1944.0,20.5
2012-06-29,22.5,22.5,22.5,22.5,2.0,22.5
2012-07-02,21.5,20.5,21.0,20.5,410.0,20.5
2012-07-03,24.5,20.0,22.0,21.0,1806.0,21.0
2012-07-04,21.0,21.0,21.0,21.0,0.0,21.0
2012-07-05,21.0,20.5,21.0,20.5,40.0,20.5
2012-07-06,23.0,23.0,23.0,23.0,2.0,23.0
2012-07-10,23.0,23.0,23.0,23.0,0.0,23.0
2012-07-11,24.0,24.0,24.0,24.0,2.0,24.0
2012-07-12,22.5,20.5,20.5,22.5,22.0,22.5
2012-07-13,22.5,22.5,22.5,22.5,0.0,22.5
2012-07-16,22.5,22.5,22.5,22.5,0.0,22.5
2012-07-17,21.0,21.0,21.0,21.0,14.0,21.0
2012-07-18,22.0,21.0,21.0,21.0,4756.0,21.0
2012-07-19,21.0,21.0,21.0,21.0,0.0,21.0
2012-07-20,21.0,20.5,21.0,20.5,1084.0,20.5
2012-07-23,20.0,20.0,20.0,20.0,2.0,20.0
2012-07-24,22.5,22.5,22.5,22.5,10.0,22.5
2012-07-25,24.0,23.0,23.0,24.0,30.0,24.0
2012-07-26,24.0,24.0,24.0,24.0,0.0,24.0
2012-07-27,20.5,20.5,20.5,20.5,2.0,20.5
2012-07-30,23.5,21.0,21.0,23.5,116.0,23.5
2012-07-31,23.5,23.5,23.5,23.5,0.0,23.5
2012-08-01,23.5,23.5,23.5,23.5,0.0,23.5
2012-08-02,23.5,23.5,23.5,23.5,0.0,23.5
2012-08-03,22.5,21.0,21.0,21.0,220.0,21.0
2012-08-06,21.0,21.0,21.0,21.0,0.0,21.0
2012-08-07,21.0,21.0,21.0,21.0,38.0,21.0
2012-08-08,21.0,21.0,21.0,21.0,0.0,21.0
2012-08-09,21.0,21.0,21.0,21.0,0.0,21.0
2012-08-10,23.0,19.5,21.5,22.0,562.0,22.0
2012-08-13,20.5,19.5,20.5,19.5,318.0,19.5
2012-08-14,19.5,19.5,19.5,19.5,0.0,19.5
2012-08-15,20.5,19.5,20.5,19.5,70.0,19.5
2012-08-16,19.5,19.0,19.5,19.0,94.0,19.0
2012-08-17,19.0,19.0,19.0,19.0,0.0,19.0
2012-08-20,20.0,19.5,19.5,20.0,6.0,20.0
2012-08-21,20.5,19.5,20.5,20.0,198.0,20.0
2012-08-22,20.0,20.0,20.0,20.0,0.0,20.0
